executive,主管
shareholder,股東	
consultant,顧問
(sales) rep（=sale representative),業務員	
supplier,供應商	
account,客戶	
receptionist,接待員	
board of directors,董事會	
spectator,參觀者	
applicant,申請人	
supervisor,管理者	
tenant,房客	
plumber,水電工	
secretary,秘書	
supervisor,監督人	
president,總經理	
vice president,副總經理	
client,顧客	
opponent,對手	
novice,生手；新手；初學者 	
appointment,約會、約定	
attendance,出席人數、出席	
cabinet,櫥櫃	
calendar,日曆、月曆、行事曆	
clerk,辦事員、書記	
directory,人名住址簿	
duplicate,複製、副本	
filing,歸檔
in-tray,待處理文件盒	
monitor,檢測、監視、追蹤	
out-tray,已處理文件盒	
partition,分隔；分隔物（如牆壁等）	
postage,郵費	
punctuality,準時、守時
schedule,時間表；計畫表
shift,換班；輪班；值班	
staff,全體職員	
strike,罷工	
task,工作、任務	
work force,工作人員；勞動人口	
assignment,分配；工作，分派	
bulletin,公報；告示	
calculator,計算器	
carbon copy,用複寫紙複製的副本	
colleague,同事，同僚	
document,文件，證件	
extension,分機（電話）；延期	
intercom,對講機	
memo,便條；便箋；備忘錄	
operator,接線生	
overtime,加班的時間
portfolio,作品夾，公事包	
printed matter,印刷品	
receptionist,接待員	
secretary,秘書	
shorthand,速記，速記法	
stapler,釘書機	
tardy,遲緩；遲到的；遲延的
typist,打字員
xerox,影印	
allocate,撥出；分配；配置		
applicant,申請人		
authorize,授權；委託		
capability,能力；才幹；潛力；性能	
lay off,（暫時）解雇
collaboration,合作；通敵		
consultation,諮詢；商量；商議；會議
curriculum vitae,履歷		
eligible,合格的，合適的
emplyer,雇主	
executive,行政或管理人員
appoint,任命；指定	
benefit,有益於；受益	
candidate,候選人
certificate,憑證；證書	
competent,有能力的，勝任的
coordinate,協調；調整
deadline,截至期限
employee,受雇者
expertise,專門技術或知識	
subsidy,補助金	
income,收入或所得	
evaluation,評價；估價	
occupation,職業		
part-time,兼任的；兼職的
permanent,不變的，永久的
promote,升遷；促銷
recruit,吸收；徵募 	
resume,履歷表	
salary,薪水 	
annuity,年金	
penalty,罰金	
deposit,押金		
overtime,超時	
pension,養老金；退休金	
rent,租金
recommendation,推薦；推薦書；勸告
resign,辭職	
retire,退休	
remuneration,報酬；酬勞
accrue,產生；增加
acquisition,獲得；習得	
amplify,放大；加強；擴展	
asset,有用的東西；優點；長處	
buyout/buy out,買進全部產權或股權；收購全部	
corporation,法人；公司	
cutback,減少；取消	
enterprise,企業
equity,公平；公正；扣除抵押、稅金後的剩餘財產價值
financier,財政家；金融業者；資本家；投資者
integrate,統合；整合	
merger,	合併；併吞
pending,未決定的；待決定的；即將發生
preliminary,初步的，開始的
propose,提議；建議
prospect,期望或預見的事；展望；期望
prosperity,繁榮；成功；興隆
scheme,計畫；設計；圖謀
thrive,茂盛；興旺；繁榮
undervalue,低估價值；看輕	
account,帳目；帳單；帳戶
balance,餘額；差額
bond,債券
chamber of commerce,商會
credit,信任；信用；信譽；功勞；榮譽；存款額
debt,債；債務
deficit,赤字；虧損額
depreciation,跌價；貶值
devaluation,貶值
endorse,贊同；支持；簽名；背書
exempt,被免除的；豁免的
expense,消耗；消費
fluctuation,波動；起伏；漲落		
gross,總共的；全部的	
inflation,物價飛漲；通貨膨脹
overdraft,透支；透支額
profit,利潤；收益；營利
revenue,收益；歲入；稅收	
stock,公債；證券；股票
withdrawl,收回；取回；撤回；提款
bid,出價；投標；喊價
commercial,商業化；商用的；營利的
competitor,競爭者；對手	
consolidate,結合；合併；強化；鞏固
contract,契約；合同
corporate,全體的；團體的；公司的；法人的
credible,可信的；可靠的
debit,借方；借項	
earnings,薪水；工資；收益	
export,輸出；出口	
haggle,討價還價		
import,輸入；進口	
invoice,發票；發貨清單	
long-range,長期的；遠程的	
stock,現貨；存貨		
payment,支付；付款	
quote,報價
supply,供應品；供應物；庫存
tariff,關稅
voucher,保證人；憑證；憑單；折價券
